	annot_gene_id	gid	length	biotype	biotype_category	detected
91	ENSG00000005302.18	ENSG00000005302.18	17613	protein_coding	protein_coding	True
92	ENSG00000005339.14	ENSG00000005339.14	155672	protein_coding	protein_coding	True
93	ENSG00000005379.16	ENSG00000005379.16	27532	protein_coding	protein_coding	True
94	ENSG00000005381.7	ENSG00000005381.7	11079	protein_coding	protein_coding	True
95	ENSG00000005421.8	ENSG00000005421.8	27031	protein_coding	protein_coding	True
96	ENSG00000005436.13	ENSG00000005436.13	58989	protein_coding	protein_coding	True
97	ENSG00000005448.16	ENSG00000005448.16	4077	protein_coding	protein_coding	True
98	ENSG00000005469.11	ENSG00000005469.11	54114	protein_coding	protein_coding	True
99	ENSG00000005471.17	ENSG00000005471.17	78738	protein_coding	protein_coding	True
100	ENSG00000005483.20	ENSG00000005483.20	100182	protein_coding	protein_coding	True
101	ENSG00000005486.16	ENSG00000005486.16	46324	protein_coding	protein_coding	True
102	ENSG00000005513.9	ENSG00000005513.9	5171	protein_coding	protein_coding	True
103	ENSG00000005700.14	ENSG00000005700.14	77771	protein_coding	protein_coding	True
104	ENSG00000005801.17	ENSG00000005801.17	39961	protein_coding	protein_coding	True
105	ENSG00000005810.17	ENSG00000005810.17	282395	protein_coding	protein_coding	True
106	ENSG00000005812.10	ENSG00000005812.10	34597	protein_coding	protein_coding	True
107	ENSG00000005844.17	ENSG00000005844.17	50527	protein_coding	protein_coding	True
108	ENSG00000005882.11	ENSG00000005882.11	17415	protein_coding	protein_coding	True
109	ENSG00000005884.17	ENSG00000005884.17	34513	protein_coding	protein_coding	True
110	ENSG00000005889.15	ENSG00000005889.15	67082	protein_coding	protein_coding	True
111	ENSG00000005893.15	ENSG00000005893.15	41538	protein_coding	protein_coding	True
112	ENSG00000005961.18	ENSG00000005961.18	17325	protein_coding	protein_coding	True
113	ENSG00000005981.12	ENSG00000005981.12	61788	protein_coding	protein_coding	True
114	ENSG00000006007.11	ENSG00000006007.11	20456	protein_coding	protein_coding	True
115	ENSG00000006015.17	ENSG00000006015.17	3651	protein_coding	protein_coding	True
116	ENSG00000006016.10	ENSG00000006016.10	35521	protein_coding	protein_coding	True
117	ENSG00000006025.11	ENSG00000006025.11	14462	protein_coding	protein_coding	True
118	ENSG00000006042.11	ENSG00000006042.11	17196	protein_coding	protein_coding	True
119	ENSG00000006047.12	ENSG00000006047.12	6363	protein_coding	protein_coding	True
120	ENSG00000006059.3	ENSG00000006059.3	4720	protein_coding	protein_coding	True
121	ENSG00000006062.15	ENSG00000006062.15	54026	protein_coding	protein_coding	True
122	ENSG00000006071.13	ENSG00000006071.13	84381	protein_coding	protein_coding	True
123	ENSG00000006116.3	ENSG00000006116.3	107248	protein_coding	protein_coding	True
124	ENSG00000006118.14	ENSG00000006118.14	12696	protein_coding	protein_coding	True
125	ENSG00000006125.17	ENSG00000006125.17	148363	protein_coding	protein_coding	True
126	ENSG00000006128.11	ENSG00000006128.11	8564	protein_coding	protein_coding	True
127	ENSG00000006194.9	ENSG00000006194.9	37601	protein_coding	protein_coding	True
128	ENSG00000006210.6	ENSG00000006210.6	12590	protein_coding	protein_coding	True
129	ENSG00000006282.20	ENSG00000006282.20	12794	protein_coding	protein_coding	True
130	ENSG00000006283.17	ENSG00000006283.17	66406	protein_coding	protein_coding	True
131	ENSG00000006327.13	ENSG00000006327.13	3938	protein_coding	protein_coding	True
132	ENSG00000006377.10	ENSG00000006377.10	5491	protein_coding	protein_coding	True
133	ENSG00000006432.15	ENSG00000006432.15	87008	protein_coding	protein_coding	True
134	ENSG00000006451.7	ENSG00000006451.7	84641	protein_coding	protein_coding	True
135	ENSG00000006453.13	ENSG00000006453.13	109417	protein_coding	protein_coding	True
136	ENSG00000006459.10	ENSG00000006459.10	92289	protein_coding	protein_coding	True
137	ENSG00000006468.13	ENSG00000006468.13	100197	protein_coding	protein_coding	True
138	ENSG00000006530.16	ENSG00000006530.16	104055	protein_coding	protein_coding	True
139	ENSG00000006534.15	ENSG00000006534.15	20704	protein_coding	protein_coding	True
140	ENSG00000006555.10	ENSG00000006555.10	21555	protein_coding	protein_coding	True
141	ENSG00000006576.16	ENSG00000006576.16	158711	protein_coding	protein_coding	True
142	ENSG00000006606.8	ENSG00000006606.8	20363	protein_coding	protein_coding	True
143	ENSG00000006607.13	ENSG00000006607.13	138598	protein_coding	protein_coding	True
144	ENSG00000006611.15	ENSG00000006611.15	50521	protein_coding	protein_coding	True
145	ENSG00000006625.17	ENSG00000006625.17	8223	protein_coding	protein_coding	True
146	ENSG00000006634.7	ENSG00000006634.7	33325	protein_coding	protein_coding	True
147	ENSG00000006638.11	ENSG00000006638.11	12334	protein_coding	protein_coding	True
148	ENSG00000006652.13	ENSG00000006652.13	58049	protein_coding	protein_coding	True
149	ENSG00000006659.12	ENSG00000006659.12	5138	protein_coding	protein_coding	True
150	ENSG00000006695.10	ENSG00000006695.10	139181	protein_coding	protein_coding	True
151	ENSG00000006704.10	ENSG00000006704.10	148814	protein_coding	protein_coding	True
152	ENSG00000006712.14	ENSG00000006712.14	5343	protein_coding	protein_coding	True
153	ENSG00000006715.15	ENSG00000006715.15	209431	protein_coding	protein_coding	True
154	ENSG00000006740.16	ENSG00000006740.16	202104	protein_coding	protein_coding	True
155	ENSG00000006744.18	ENSG00000006744.18	25796	protein_coding	protein_coding	True
156	ENSG00000006747.14	ENSG00000006747.14	89602	protein_coding	protein_coding	True
157	ENSG00000006756.15	ENSG00000006756.15	25381	protein_coding	protein_coding	True
158	ENSG00000006757.11	ENSG00000006757.11	29492	protein_coding	protein_coding	True
159	ENSG00000006788.13	ENSG00000006788.13	72265	protein_coding	protein_coding	True
160	ENSG00000006831.9	ENSG00000006831.9	100104	protein_coding	protein_coding	True
161	ENSG00000006837.11	ENSG00000006837.11	84697	protein_coding	protein_coding	True
162	ENSG00000007001.12	ENSG00000007001.12	259452	protein_coding	protein_coding	True
163	ENSG00000007038.10	ENSG00000007038.10	9124	protein_coding	protein_coding	True
164	ENSG00000007047.14	ENSG00000007047.14	225995	protein_coding	protein_coding	True
165	ENSG00000007062.11	ENSG00000007062.11	121302	protein_coding	protein_coding	True
166	ENSG00000007080.10	ENSG00000007080.10	10975	protein_coding	protein_coding	True
167	ENSG00000007129.17	ENSG00000007129.17	37326	protein_coding	protein_coding	True
168	ENSG00000007168.12	ENSG00000007168.12	92405	protein_coding	protein_coding	True
169	ENSG00000007171.17	ENSG00000007171.17	43733	protein_coding	protein_coding	True
170	ENSG00000007174.17	ENSG00000007174.17	371317	protein_coding	protein_coding	True
171	ENSG00000007202.14	ENSG00000007202.14	31014	protein_coding	protein_coding	True
172	ENSG00000007216.14	ENSG00000007216.14	24488	protein_coding	protein_coding	True
173	ENSG00000007237.18	ENSG00000007237.18	287942	protein_coding	protein_coding	True
174	ENSG00000007255.10	ENSG00000007255.10	15309	protein_coding	protein_coding	True
175	ENSG00000007264.14	ENSG00000007264.14	24159	protein_coding	protein_coding	True
176	ENSG00000007306.14	ENSG00000007306.14	33669	protein_coding	protein_coding	True
177	ENSG00000007312.12	ENSG00000007312.12	3614	protein_coding	protein_coding	True
178	ENSG00000007314.12	ENSG00000007314.12	34364	protein_coding	protein_coding	True
179	ENSG00000007341.18	ENSG00000007341.18	97307	protein_coding	protein_coding	True
180	ENSG00000007350.16	ENSG00000007350.16	34679	protein_coding	protein_coding	True
181	ENSG00000007372.22	ENSG00000007372.22	33283	protein_coding	protein_coding	True
182	ENSG00000007376.7	ENSG00000007376.7	3423	protein_coding	protein_coding	True
183	ENSG00000007384.15	ENSG00000007384.15	18296	protein_coding	protein_coding	True
184	ENSG00000007392.16	ENSG00000007392.16	40494	protein_coding	protein_coding	True
185	ENSG00000007402.11	ENSG00000007402.11	141445	protein_coding	protein_coding	True
186	ENSG00000007516.13	ENSG00000007516.13	15840	protein_coding	protein_coding	True
187	ENSG00000007520.3	ENSG00000007520.3	2671	protein_coding	protein_coding	True
188	ENSG00000007541.16	ENSG00000007541.16	17141	protein_coding	protein_coding	True
189	ENSG00000007545.15	ENSG00000007545.15	65583	protein_coding	protein_coding	True
190	ENSG00000007866.20	ENSG00000007866.20	23479	protein_coding	protein_coding	True
191	ENSG00000007908.15	ENSG00000007908.15	42064	protein_coding	protein_coding	True
192	ENSG00000007923.15	ENSG00000007923.15	67756	protein_coding	protein_coding	True
193	ENSG00000007933.12	ENSG00000007933.12	26942	protein_coding	protein_coding	True
194	ENSG00000007944.14	ENSG00000007944.14	19123	protein_coding	protein_coding	True
195	ENSG00000007952.17	ENSG00000007952.17	31021	protein_coding	protein_coding	True
196	ENSG00000007968.6	ENSG00000007968.6	24790	protein_coding	protein_coding	True
197	ENSG00000008018.8	ENSG00000008018.8	18224	protein_coding	protein_coding	True
198	ENSG00000008056.13	ENSG00000008056.13	48045	protein_coding	protein_coding	True
199	ENSG00000008083.13	ENSG00000008083.13	275744	protein_coding	protein_coding	True
200	ENSG00000008086.11	ENSG00000008086.11	228046	protein_coding	protein_coding	True
201	ENSG00000008118.9	ENSG00000008118.9	30221	protein_coding	protein_coding	True
202	ENSG00000008128.22	ENSG00000008128.22	21594	protein_coding	protein_coding	True
203	ENSG00000008130.15	ENSG00000008130.15	29225	protein_coding	protein_coding	True
204	ENSG00000008196.12	ENSG00000008196.12	28890	protein_coding	protein_coding	True
205	ENSG00000008197.4	ENSG00000008197.4	59160	protein_coding	protein_coding	True
206	ENSG00000008226.19	ENSG00000008226.19	84820	protein_coding	protein_coding	True
207	ENSG00000008256.15	ENSG00000008256.15	110868	protein_coding	protein_coding	True
208	ENSG00000008277.14	ENSG00000008277.14	268746	protein_coding	protein_coding	True
209	ENSG00000008282.8	ENSG00000008282.8	22073	protein_coding	protein_coding	True
210	ENSG00000008283.15	ENSG00000008283.15	14074	protein_coding	protein_coding	True
211	ENSG00000008294.20	ENSG00000008294.20	158691	protein_coding	protein_coding	True
212	ENSG00000008300.16	ENSG00000008300.16	26446	protein_coding	protein_coding	True
213	ENSG00000008311.14	ENSG00000008311.14	68633	protein_coding	protein_coding	True
214	ENSG00000008323.15	ENSG00000008323.15	18070	protein_coding	protein_coding	True
215	ENSG00000008324.11	ENSG00000008324.11	13274	protein_coding	protein_coding	True
216	ENSG00000008382.15	ENSG00000008382.15	16559	protein_coding	protein_coding	True
217	ENSG00000008394.12	ENSG00000008394.12	262117	protein_coding	protein_coding	True
218	ENSG00000008405.11	ENSG00000008405.11	102465	protein_coding	protein_coding	True
219	ENSG00000008438.4	ENSG00000008438.4	3912	protein_coding	protein_coding	True
220	ENSG00000008441.16	ENSG00000008441.16	103188	protein_coding	protein_coding	True
221	ENSG00000008513.15	ENSG00000008513.15	117092	protein_coding	protein_coding	True
222	ENSG00000008516.16	ENSG00000008516.16	14045	protein_coding	protein_coding	True
223	ENSG00000008517.16	ENSG00000008517.16	16895	protein_coding	protein_coding	True
224	ENSG00000008710.19	ENSG00000008710.19	47188	protein_coding	protein_coding	True
225	ENSG00000008735.13	ENSG00000008735.13	13296	protein_coding	protein_coding	True
226	ENSG00000008838.19	ENSG00000008838.19	42118	protein_coding	protein_coding	True
227	ENSG00000008853.16	ENSG00000008853.16	32782	protein_coding	protein_coding	True
228	ENSG00000008869.11	ENSG00000008869.11	115959	protein_coding	protein_coding	True
229	ENSG00000008952.16	ENSG00000008952.16	31738	protein_coding	protein_coding	True
230	ENSG00000008988.9	ENSG00000008988.9	7286	protein_coding	protein_coding	True
231	ENSG00000009307.15	ENSG00000009307.15	41763	protein_coding	protein_coding	True
232	ENSG00000009335.17	ENSG00000009335.17	130459	protein_coding	protein_coding	True
233	ENSG00000009413.15	ENSG00000009413.15	184687	protein_coding	protein_coding	True
234	ENSG00000009694.13	ENSG00000009694.13	587914	protein_coding	protein_coding	True
235	ENSG00000009709.11	ENSG00000009709.11	117860	protein_coding	protein_coding	True
236	ENSG00000009724.16	ENSG00000009724.16	20710	protein_coding	protein_coding	True
237	ENSG00000009765.14	ENSG00000009765.14	37077	protein_coding	protein_coding	True
238	ENSG00000009780.15	ENSG00000009780.15	37143	protein_coding	protein_coding	True
239	ENSG00000009790.14	ENSG00000009790.14	26288	protein_coding	protein_coding	True
240	ENSG00000009830.11	ENSG00000009830.11	45928	protein_coding	protein_coding	True
241	ENSG00000009844.15	ENSG00000009844.15	77527	protein_coding	protein_coding	True
242	ENSG00000009950.15	ENSG00000009950.15	31349	protein_coding	protein_coding	True
243	ENSG00000009954.10	ENSG00000009954.10	81880	protein_coding	protein_coding	True
244	ENSG00000010017.12	ENSG00000010017.12	90066	protein_coding	protein_coding	True
245	ENSG00000010030.13	ENSG00000010030.13	33709	protein_coding	protein_coding	True
246	ENSG00000010072.15	ENSG00000010072.15	17919	protein_coding	protein_coding	True
247	ENSG00000010165.19	ENSG00000010165.19	32359	protein_coding	protein_coding	True
248	ENSG00000010219.13	ENSG00000010219.13	53098	protein_coding	protein_coding	True
249	ENSG00000010244.18	ENSG00000010244.18	31769	protein_coding	protein_coding	True
250	ENSG00000010256.10	ENSG00000010256.10	11974	protein_coding	protein_coding	True
251	ENSG00000010270.13	ENSG00000010270.13	52449	protein_coding	protein_coding	True
252	ENSG00000010278.13	ENSG00000010278.13	38556	protein_coding	protein_coding	True
253	ENSG00000010282.14	ENSG00000010282.14	10164	protein_coding	protein_coding	True
254	ENSG00000010292.12	ENSG00000010292.12	38599	protein_coding	protein_coding	True
255	ENSG00000010295.19	ENSG00000010295.19	17708	protein_coding	protein_coding	True
256	ENSG00000010310.8	ENSG00000010310.8	15480	protein_coding	protein_coding	True
257	ENSG00000010318.20	ENSG00000010318.20	12984	protein_coding	protein_coding	True
258	ENSG00000010319.6	ENSG00000010319.6	12032	protein_coding	protein_coding	True
259	ENSG00000010322.15	ENSG00000010322.15	37953	protein_coding	protein_coding	True
260	ENSG00000010327.10	ENSG00000010327.10	29157	protein_coding	protein_coding	True
261	ENSG00000010361.13	ENSG00000010361.13	10507	protein_coding	protein_coding	True
262	ENSG00000010379.15	ENSG00000010379.15	42252	protein_coding	protein_coding	True
263	ENSG00000010404.17	ENSG00000010404.17	44106	protein_coding	protein_coding	True
264	ENSG00000010438.16	ENSG00000010438.16	48765	protein_coding	protein_coding	True
265	ENSG00000010539.11	ENSG00000010539.11	13896	protein_coding	protein_coding	True
266	ENSG00000010610.9	ENSG00000010610.9	33950	protein_coding	protein_coding	True
267	ENSG00000010626.14	ENSG00000010626.14	40674	protein_coding	protein_coding	True
268	ENSG00000010671.15	ENSG00000010671.15	41349	protein_coding	protein_coding	True
269	ENSG00000010704.18	ENSG00000010704.18	11062	protein_coding	protein_coding	True
270	ENSG00000010803.16	ENSG00000010803.16	214954	protein_coding	protein_coding	True
271	ENSG00000010810.17	ENSG00000010810.17	213120	protein_coding	protein_coding	True
272	ENSG00000010818.9	ENSG00000010818.9	205231	protein_coding	protein_coding	True
273	ENSG00000010932.16	ENSG00000010932.16	37507	protein_coding	protein_coding	True
274	ENSG00000011007.12	ENSG00000011007.12	18904	protein_coding	protein_coding	True
275	ENSG00000011009.10	ENSG00000011009.10	4569	protein_coding	protein_coding	True
276	ENSG00000011021.22	ENSG00000011021.22	41983	protein_coding	protein_coding	True
277	ENSG00000011028.13	ENSG00000011028.13	66196	protein_coding	protein_coding	True
278	ENSG00000011052.21	ENSG00000011052.21	18154	protein_coding	protein_coding	True
279	ENSG00000011083.8	ENSG00000011083.8	32831	protein_coding	protein_coding	True
280	ENSG00000011105.13	ENSG00000011105.13	209209	protein_coding	protein_coding	True
281	ENSG00000011114.14	ENSG00000011114.14	95542	protein_coding	protein_coding	True
282	ENSG00000011132.11	ENSG00000011132.11	10880	protein_coding	protein_coding	True
283	ENSG00000011143.16	ENSG00000011143.16	14168	protein_coding	protein_coding	True
284	ENSG00000011198.9	ENSG00000011198.9	44263	protein_coding	protein_coding	True
285	ENSG00000011201.11	ENSG00000011201.11	203312	protein_coding	protein_coding	True
286	ENSG00000011243.17	ENSG00000011243.17	39093	protein_coding	protein_coding	True
287	ENSG00000011258.15	ENSG00000011258.15	82738	protein_coding	protein_coding	True
288	ENSG00000011260.13	ENSG00000011260.13	37408	protein_coding	protein_coding	True
289	ENSG00000011275.18	ENSG00000011275.18	161692	protein_coding	protein_coding	True
290	ENSG00000011295.15	ENSG00000011295.15	45635	protein_coding	protein_coding	True
291	ENSG00000011304.19	ENSG00000011304.19	15252	protein_coding	protein_coding	True
292	ENSG00000011332.19	ENSG00000011332.19	18708	protein_coding	protein_coding	True
293	ENSG00000011347.9	ENSG00000011347.9	65835	protein_coding	protein_coding	True
294	ENSG00000011376.10	ENSG00000011376.10	160915	protein_coding	protein_coding	True
295	ENSG00000011405.13	ENSG00000011405.13	130253	protein_coding	protein_coding	True
296	ENSG00000011422.11	ENSG00000011422.11	24452	protein_coding	protein_coding	True
297	ENSG00000011426.10	ENSG00000011426.10	63985	protein_coding	protein_coding	True
298	ENSG00000011451.19	ENSG00000011451.19	29971	protein_coding	protein_coding	True
299	ENSG00000011454.16	ENSG00000011454.16	164033	protein_coding	protein_coding	True
300	ENSG00000011465.16	ENSG00000011465.16	42639	protein_coding	protein_coding	True
301	ENSG00000011478.11	ENSG00000011478.11	11506	protein_coding	protein_coding	True
302	ENSG00000011485.14	ENSG00000011485.14	45987	protein_coding	protein_coding	True
303	ENSG00000011523.13	ENSG00000011523.13	30638	protein_coding	protein_coding	True
304	ENSG00000011566.14	ENSG00000011566.14	188046	protein_coding	protein_coding	True
305	ENSG00000011590.13	ENSG00000011590.13	12511	protein_coding	protein_coding	True
306	ENSG00000011600.11	ENSG00000011600.11	3894	protein_coding	protein_coding	True
307	ENSG00000011638.10	ENSG00000011638.10	22239	protein_coding	protein_coding	True
308	ENSG00000011677.12	ENSG00000011677.12	285124	protein_coding	protein_coding	True
309	ENSG00000012048.21	ENSG00000012048.21	125950	protein_coding	protein_coding	True
310	ENSG00000012061.15	ENSG00000012061.15	71495	protein_coding	protein_coding	True
311	ENSG00000012124.16	ENSG00000012124.16	28094	protein_coding	protein_coding	True
312	ENSG00000012171.19	ENSG00000012171.19	9988	protein_coding	protein_coding	True
313	ENSG00000012174.11	ENSG00000012174.11	45788	protein_coding	protein_coding	True
314	ENSG00000012211.12	ENSG00000012211.12	11264	protein_coding	protein_coding	True
315	ENSG00000012223.12	ENSG00000012223.12	49589	protein_coding	protein_coding	True
316	ENSG00000012232.8	ENSG00000012232.8	155130	protein_coding	protein_coding	True
317	ENSG00000012504.14	ENSG00000012504.14	90705	protein_coding	protein_coding	True
318	ENSG00000012660.13	ENSG00000012660.13	81781	protein_coding	protein_coding	True
319	ENSG00000012779.10	ENSG00000012779.10	71943	protein_coding	protein_coding	True
320	ENSG00000012817.15	ENSG00000012817.15	41074	protein_coding	protein_coding	True
321	ENSG00000012822.15	ENSG00000012822.15	19228	protein_coding	protein_coding	True
322	ENSG00000012963.14	ENSG00000012963.14	22159	protein_coding	protein_coding	True
323	ENSG00000012983.11	ENSG00000012983.11	142625	protein_coding	protein_coding	True
324	ENSG00000013016.15	ENSG00000013016.15	35110	protein_coding	protein_coding	True
325	ENSG00000013275.7	ENSG00000013275.7	10436	protein_coding	protein_coding	True
326	ENSG00000013288.8	ENSG00000013288.8	48187	protein_coding	protein_coding	True
327	ENSG00000013293.5	ENSG00000013293.5	126490	protein_coding	protein_coding	True
328	ENSG00000013297.11	ENSG00000013297.11	35868	protein_coding	protein_coding	True
329	ENSG00000013306.15	ENSG00000013306.15	5245	protein_coding	protein_coding	True
330	ENSG00000013364.18	ENSG00000013364.18	27645	protein_coding	protein_coding	True
331	ENSG00000013374.16	ENSG00000013374.16	36750	protein_coding	protein_coding	True
332	ENSG00000013375.15	ENSG00000013375.15	32786	protein_coding	protein_coding	True
333	ENSG00000013392.7	ENSG00000013392.7	5553	protein_coding	protein_coding	True
334	ENSG00000013441.15	ENSG00000013441.15	11735	protein_coding	protein_coding	True
335	ENSG00000013503.9	ENSG00000013503.9	152540	protein_coding	protein_coding	True
336	ENSG00000013523.9	ENSG00000013523.9	40068	protein_coding	protein_coding	True
337	ENSG00000013561.17	ENSG00000013561.17	31963	protein_coding	protein_coding	True
338	ENSG00000013563.13	ENSG00000013563.13	10874	protein_coding	protein_coding	True
