	max_isos_sample	max_sample	annot_gene_name	annot_gene_id
39109	22.0	brain	CLU	ENSG00000120885.21
15287	22.0	h9_chondro	HDLBP	ENSG00000115677.16
5878	22.0	gm12878	FDPS	ENSG00000160752.14
89276	22.0	hl60_m0	SLC35C2	ENSG00000080189.14
47718	22.0	adrenal gland	CYP17A1	ENSG00000148795.6
91013	22.0	hl60_m1_72hr	ITGB2	ENSG00000160255.17
16935	22.0	heart	MAP4	ENSG00000047849.21
79131	22.0	hepg2	ASPSCR1	ENSG00000169696.15
80853	21.0	gm12878	CNDP2	ENSG00000133313.14
9661	21.0	lung	SNX17	ENSG00000115234.10
16363	21.0	heart	LRRFIP2	ENSG00000093167.17
78711	21.0	lung	PGS1	ENSG00000087157.18
3083	21.0	a673	NRDC	ENSG00000078618.21
90958	21.0	brain	PFKL	ENSG00000141959.16
79195	21.0	colon	DUS1L	ENSG00000169718.17
80502	21.0	vessels	TCF4	ENSG00000196628.16
30987	21.0	h1_de	HMGA1	ENSG00000137309.19
17137	21.0	gm12878	QARS	ENSG00000172053.17
4763	21.0	heart	CSDE1	ENSG00000009307.15
77936	21.0	heart	PRKAR1A	ENSG00000108946.14
81916	21.0	brain	SLC25A23	ENSG00000125648.14
5399	21.0	colon	SELENBP1	ENSG00000143416.20
42256	21.0	hepg2	RPS6	ENSG00000137154.12
18466	21.0	h1	DPPA4	ENSG00000121570.12
56505	21.0	hl60_m1_24hr	ITGB7	ENSG00000139626.15
59096	21.0	heart	RNF10	ENSG00000022840.15
4402	21.0	brain	PSRC1	ENSG00000134222.16
6109	21.0	brain	NAXE	ENSG00000163382.11
45047	21.0	heart	FBXW5	ENSG00000159069.13
75984	21.0	hmec	KRT17	ENSG00000128422.16
27575	21.0	h1_de	H2AFY	ENSG00000113648.16
68484	21.0	heart	JMJD8	ENSG00000161999.11
17368	21.0	heart	IFRD2	ENSG00000214706.10
45294	21.0	pc9	AKR1C2	ENSG00000151632.17
66898	21.0	heart	PARP6	ENSG00000137817.16
81477	21.0	brain	OAZ1	ENSG00000104904.12
18254	20.0	brain	CLDND1	ENSG00000080822.16
46937	20.0	lung	SFTPA2	ENSG00000185303.16
82131	20.0	h1	HNRNPM	ENSG00000099783.11
48665	20.0	lung	TSPAN4	ENSG00000214063.10
29228	20.0	hl60_m1_72hr	SQSTM1	ENSG00000161011.19
50849	20.0	hl60_m2_72hr	EEF1G	ENSG00000254772.9
361	20.0	colon	TNFRSF14	ENSG00000157873.17
51081	20.0	hl60_m0	STIP1	ENSG00000168439.16
79186	20.0	heart	GPS1	ENSG00000169727.12
17076	20.0	heart	ARIH2	ENSG00000177479.19
28779	20.0	gm12878	NPM1	ENSG00000181163.13
19112	20.0	gm12878	CNBP	ENSG00000169714.16
80156	20.0	k562	ELP2	ENSG00000134759.13
15090	20.0	hl60_m2_24hr	UBE2F	ENSG00000184182.18
33890	20.0	wtc11	EIF3B	ENSG00000106263.17
44427	20.0	brain	DNM1	ENSG00000106976.20
70313	20.0	hepg2	EIF3C	ENSG00000184110.14
10112	20.0	hepg2	LRPPRC	ENSG00000138095.18
84989	20.0	h9_chondro	PLD3	ENSG00000105223.19
58292	20.0	gm12878	PARPBP	ENSG00000185480.11
7125	20.0	mcf10a	LAMC2	ENSG00000058085.14
23716	20.0	heart	CAMK2D	ENSG00000145349.16
34976	20.0	hl60_m2_12hr	DBNL	ENSG00000136279.20
41598	20.0	heart	NAPRT	ENSG00000147813.15
59504	20.0	brain	UBC	ENSG00000150991.14
15058	20.0	lung	MLPH	ENSG00000115648.13
61221	20.0	hl60_m1_72hr	NAXD	ENSG00000213995.11
50705	20.0	hl60_m1_72hr	CYB561A3	ENSG00000162144.9
19194	20.0	heart	ATP2C1	ENSG00000017260.19
46503	20.0	h9_neural_crest	HNRNPH3	ENSG00000096746.17
57162	20.0	h1	MARS	ENSG00000166986.14
72880	20.0	heart	SPG7	ENSG00000197912.15
81808	20.0	brain	HSD11B1L	ENSG00000167733.13
84595	20.0	h9_panc_progen	HKR1	ENSG00000181666.17
45063	20.0	heart	PTGDS	ENSG00000107317.12
29441	20.0	heart	SERPINB6	ENSG00000124570.19
91092	20.0	imr90	COL6A2	ENSG00000142173.14
92808	20.0	h9	SGSM3	ENSG00000100359.20
23826	20.0	imr90	ANXA5	ENSG00000164111.14
22662	20.0	liver	ALB	ENSG00000163631.16
96423	20.0	brain	TAZ	ENSG00000102125.15
35129	19.0	heart	TBRG4	ENSG00000136270.13
75145	19.0	heart	CORO6	ENSG00000167549.18
77359	19.0	hl60	MPO	ENSG00000005381.7
89149	19.0	hffc6	PIGT	ENSG00000124155.17
11068	19.0	brain	AUP1	ENSG00000115307.16
62000	19.0	gm12878	PSME2	ENSG00000100911.15
83459	19.0	brain	FKBP8	ENSG00000105701.15
69243	19.0	heart	NAA60	ENSG00000122390.18
55505	19.0	heart	PPFIBP1	ENSG00000110841.13
7410	19.0	heart	TNNT2	ENSG00000118194.18
80403	19.0	heart	MBD1	ENSG00000141644.17
41966	19.0	heart	KANK1	ENSG00000107104.18
1219	19.0	brain	RAP1GAP	ENSG00000076864.19
63268	19.0	h9_chondro	ACTN1	ENSG00000072110.13
43081	19.0	h9_panc_beta	ANXA1	ENSG00000135046.13
71901	19.0	h9	PRMT7	ENSG00000132600.16
93564	19.0	gm12878	MSL3	ENSG00000005302.18
65604	19.0	gm12878	NUSAP1	ENSG00000137804.12
21279	19.0	brain	TMEM175	ENSG00000127419.16
61351	19.0	hl60_m0	TMCO3	ENSG00000150403.17
14583	19.0	heart	SLC4A3	ENSG00000114923.16
95586	19.0	h9_osteocyte	PLS3	ENSG00000102024.17
28342	19.0	h1	TCOF1	ENSG00000070814.19
36468	19.0	h9	MCM7	ENSG00000166508.17
38085	19.0	heart	FASTK	ENSG00000164896.19
67107	19.0	heart	ULK3	ENSG00000140474.13
75789	19.0	calu3	GRB7	ENSG00000141738.13
60403	19.0	hffc6	TPT1	ENSG00000133112.16
75827	19.0	h9_de	MED24	ENSG00000008838.19
1174	19.0	heart	HP1BP3	ENSG00000127483.17
79655	19.0	hl60_m0	MPPE1	ENSG00000154889.16
163	19.0	pc3	CCNL2	ENSG00000221978.11
7865	19.0	mcf10a	LAMB3	ENSG00000196878.14
37469	19.0	heart	CALD1	ENSG00000122786.19
64161	19.0	lung	SERPINA1	ENSG00000197249.13
75772	19.0	calu3	ERBB2	ENSG00000141736.13
30371	19.0	brain	FLOT1	ENSG00000137312.14
49117	19.0	heart	ILK	ENSG00000166333.13
93200	19.0	heart	TRMU	ENSG00000100416.13
39733	19.0	k562	TCEA1	ENSG00000187735.13
57913	19.0	imr90	DCN	ENSG00000011465.16
90702	19.0	gm12878	HMGN1	ENSG00000205581.10
32067	18.0	h1_de	SNX14	ENSG00000135317.12
42713	18.0	h9_neural_crest	MELK	ENSG00000165304.7
15070	18.0	h1_de	RAB17	ENSG00000124839.12
45969	18.0	heart	ITGB1	ENSG00000150093.18
18306	18.0	h9_chondro	COL8A1	ENSG00000144810.15
41753	18.0	brain	HSF1	ENSG00000185122.10
79478	18.0	pc9	TGIF1	ENSG00000177426.20
89335	18.0	mcf7	SULF2	ENSG00000196562.14
60224	18.0	mcf10a	SUPT20H	ENSG00000102710.19
10568	18.0	h1	UGP2	ENSG00000169764.15
46984	18.0	heart	ANXA11	ENSG00000122359.17
25875	18.0	gm12878	GPBP1	ENSG00000062194.15
94008	18.0	hl60_m2_24hr	ATP6AP2	ENSG00000182220.14
88414	18.0	hl60_m1_72hr	ABHD12	ENSG00000100997.18
62853	18.0	h1_de	KTN1	ENSG00000126777.17
90500	18.0	hl60_m0	MRPS6	ENSG00000243927.5
72642	18.0	brain	COX4I1	ENSG00000131143.8
61055	18.0	hl60_m2_72hr	UBAC2	ENSG00000134882.15
93349	18.0	lung	TYMP	ENSG00000025708.13
66695	18.0	hepg2	RPL4	ENSG00000174444.14
48234	18.0	colon	CTBP2	ENSG00000175029.16
61632	18.0	gm12878	METTL3	ENSG00000165819.11
80417	18.0	gm12878	CXXC1	ENSG00000154832.14
22351	18.0	gm12878	FIP1L1	ENSG00000145216.15
76439	18.0	brain	SLC25A39	ENSG00000013306.15
41460	18.0	heart	PTP4A3	ENSG00000184489.11
84387	18.0	brain	APLP1	ENSG00000105290.11
76702	18.0	h9_osteocyte	GOSR2	ENSG00000108433.16
5640	18.0	heart	TPM3	ENSG00000143549.19
24562	18.0	heart	PALLD	ENSG00000129116.18
12846	18.0	h9	MARCH7	ENSG00000136536.14
57506	18.0	hl60_m1_24hr	RAP1B	ENSG00000127314.17
35119	18.0	heart	CCM2	ENSG00000136280.16
7586	18.0	h1_de	ZC3H11A	ENSG00000058673.16
15758	18.0	hepg2	SEC13	ENSG00000157020.17
63502	18.0	h9_panc_progen	ZNF410	ENSG00000119725.18
30493	18.0	hl60_m2_24hr	LST1	ENSG00000204482.10
68897	18.0	brain	RNPS1	ENSG00000205937.11
91162	18.0	brain	PRMT2	ENSG00000160310.17
9242	18.0	lung	PDIA6	ENSG00000143870.12
61357	18.0	h1	TFDP1	ENSG00000198176.12
48255	18.0	heart	UROS	ENSG00000188690.13
59170	18.0	gm12878	ANAPC5	ENSG00000089053.12
71248	18.0	h9_neural_crest	NUP93	ENSG00000102900.12
31636	18.0	h9_neural_crest	MCM3	ENSG00000112118.18
159290	18.0	heart	AC010327.1	ENSG00000267110.1
27389	18.0	heart	P4HA2	ENSG00000072682.18
44946	18.0	hl60_m1_24hr	CARD9	ENSG00000187796.14
1630	18.0	hl60	SYTL1	ENSG00000142765.17
2806	18.0	brain	UROD	ENSG00000126088.13
37979	18.0	heart	REPIN1	ENSG00000214022.11
1396	18.0	wtc11	SRRM1	ENSG00000133226.16
81125	18.0	h1_de	PTBP1	ENSG00000011304.19
50240	18.0	ovary	ARFGAP2	ENSG00000149182.14
8733	18.0	heart	ACTN2	ENSG00000077522.12
78348	18.0	brain	SAP30BP	ENSG00000161526.14
6314	18.0	heart	DCAF8	ENSG00000132716.18
56416	18.0	lung	KRT7	ENSG00000135480.15
21801	18.0	brain	QDPR	ENSG00000151552.11
46376	18.0	h9_neural_crest	ZWINT	ENSG00000122952.16
87150	18.0	muscle	TNNT1	ENSG00000105048.16
50973	18.0	h9_neural_crest	SNHG1	ENSG00000255717.6
13762	18.0	heart	SPATS2L	ENSG00000196141.13
36157	18.0	h9_chondro	COL1A2	ENSG00000164692.17
18364	17.0	wtc11	PCNP	ENSG00000081154.11
54690	17.0	brain	TPI1	ENSG00000111669.14
67137	17.0	heart	FAM219B	ENSG00000178761.14
62176	17.0	brain	SDR39U1	ENSG00000100445.17
76200	17.0	heart	BECN1	ENSG00000126581.12
84164	17.0	colon	FXYD3	ENSG00000089356.18
84111	17.0	brain	ZNF302	ENSG00000089335.20
58757	17.0	colon	ALDH2	ENSG00000111275.12
18752	17.0	hffc6	FSTL1	ENSG00000163430.11
53992	17.0	brain	FEZ1	ENSG00000149557.13
32253	17.0	h1	PNISR	ENSG00000132424.15
32272	17.0	h9_neural_crest	CCNC	ENSG00000112237.12
41420	17.0	heart	PTK2	ENSG00000169398.19
61368	17.0	heart	GAS6	ENSG00000183087.14
58710	17.0	heart	MYL2	ENSG00000111245.14
51374	17.0	brain	SCYL1	ENSG00000142186.16
45990	17.0	h1	PARD3	ENSG00000148498.15
52682	17.0	k562	PICALM	ENSG00000073921.17
35213	17.0	wtc11	GRB10	ENSG00000106070.18
31071	17.0	mcf10a	FKBP5	ENSG00000096060.14
59339	17.0	heart	OGFOD2	ENSG00000111325.16
95363	17.0	gm12878	MORF4L2	ENSG00000123562.16
44462	17.0	h9_neural_crest	ODF2	ENSG00000136811.16
924	17.0	vessels	FBLIM1	ENSG00000162458.12
30442	17.0	gm12878	HLA-B	ENSG00000234745.10
2636	17.0	heart	ST3GAL3	ENSG00000126091.20
95378	17.0	brain	PLP1	ENSG00000123560.13
58153	17.0	hl60_m2_12hr	SLC25A3	ENSG00000075415.12
82967	17.0	brain	TECR	ENSG00000099797.14
33985	17.0	vessels	ACTB	ENSG00000075624.14
88718	17.0	caco2	CPNE1	ENSG00000214078.12
44414	17.0	k562	CIZ1	ENSG00000148337.20
30759	17.0	lung	AGER	ENSG00000204305.13
19953	17.0	colon	CCNL1	ENSG00000163660.11
61742	17.0	k562	MRPL52	ENSG00000172590.18
17026	17.0	heart	UQCRC1	ENSG00000010256.10
43294	17.0	brain	SEMA4D	ENSG00000187764.11
92576	17.0	gm12878	EIF3L	ENSG00000100129.17
48922	17.0	heart	PGAP2	ENSG00000148985.19
42634	17.0	hffc6	TPM2	ENSG00000198467.14
3148	17.0	heart	ECHDC2	ENSG00000121310.16
94591	17.0	h9_osteocyte	MAGED2	ENSG00000102316.16
16554	17.0	heart	CTNNB1	ENSG00000168036.17
48559	17.0	heart	IRF7	ENSG00000185507.20
61476	17.0	pgp1_endo	APEX1	ENSG00000100823.11
40983	17.0	brain	SYBU	ENSG00000147642.16
11850	17.0	heart	FHL2	ENSG00000115641.18
92893	17.0	h9	XRCC6	ENSG00000196419.12
43362	17.0	k562	IARS	ENSG00000196305.17
1571	17.0	hl60_m0	RPS6KA1	ENSG00000117676.13
16847	17.0	h9	TDGF1	ENSG00000241186.9
9533	17.0	heart	HADHB	ENSG00000138029.13
72920	17.0	hffc6	RPL13	ENSG00000167526.13
48109	17.0	h1	FGFR2	ENSG00000066468.22
41720	17.0	colon	GPAA1	ENSG00000197858.10
86346	17.0	heart	PTOV1	ENSG00000104960.15
79160	16.0	heart	DCXR	ENSG00000169738.7
80061	16.0	heart	DTNA	ENSG00000134769.21
81955	16.0	heart	GPR108	ENSG00000125734.15
10974	16.0	heart	DCTN1	ENSG00000204843.12
48879	16.0	gm12878	ZNF195	ENSG00000005801.17
2382	16.0	colon	CAP1	ENSG00000131236.16
61240	16.0	hl60_m1_72hr	ANKRD10	ENSG00000088448.14
87771	16.0	h9_panc_progen	CSNK2A1	ENSG00000101266.18
68562	16.0	wtc11	CHTF18	ENSG00000127586.16
88221	16.0	hepg2	SNX5	ENSG00000089006.16
71330	16.0	heart	COQ9	ENSG00000088682.13
41676	16.0	brain	PUF60	ENSG00000179950.13
81788	16.0	brain	SAFB	ENSG00000160633.12
93477	16.0	h9_neural_crest	GYG2	ENSG00000056998.19
50800	16.0	heart	FADS3	ENSG00000221968.8
54566	16.0	gm12878	NOP2	ENSG00000111641.11
40130	16.0	heart	STAU2	ENSG00000040341.17
62081	16.0	h9_neural_crest	GMPR2	ENSG00000100938.17
9982	16.0	h1	SRSF7	ENSG00000115875.18
22077	16.0	h9_osteocyte	UGDH	ENSG00000109814.11
94325	16.0	pgp1_excite_neuron	PQBP1	ENSG00000102103.15
35645	16.0	h1	GTF2I	ENSG00000263001.5
61830	16.0	h1_de	ACIN1	ENSG00000100813.14
90025	16.0	h1	CBSL	ENSG00000274276.4
83041	16.0	brain	AKAP8L	ENSG00000011243.17
7853	16.0	hmec	MIR205HG	ENSG00000230937.11
42442	16.0	heart	AQP7	ENSG00000165269.12
92073	16.0	heart	ASCC2	ENSG00000100325.14
15078	16.0	heart	LRRFIP1	ENSG00000124831.18
56117	16.0	h9_neural_crest	TUBA1A	ENSG00000167552.13
28577	16.0	colon	CLINT1	ENSG00000113282.13
61310	16.0	heart	PCID2	ENSG00000126226.21
80362	16.0	hffc6	RPL17	ENSG00000265681.7
87054	16.0	brain	TTYH1	ENSG00000167614.13
68340	16.0	heart	FAM234A	ENSG00000167930.15
67834	16.0	h1_de	FANCI	ENSG00000140525.17
29293	16.0	heart	MGAT1	ENSG00000131446.16
91353	16.0	k562	CDC45	ENSG00000093009.9
28675	16.0	h9	CCNG1	ENSG00000113328.18
24268	16.0	hl60_m2_12hr	RPS3A	ENSG00000145425.9
13699	16.0	hepg2	HSPD1	ENSG00000144381.16
15776	16.0	brain	SLC6A1	ENSG00000157103.11
55606	16.0	h9_de	SINHCAF	ENSG00000139146.13
7089	16.0	brain	GLUL	ENSG00000135821.18
16353	16.0	h9_neural_crest	MLH1	ENSG00000076242.14
21109	16.0	heart	DLG1	ENSG00000075711.20
40309	16.0	h9_panc_progen	ZFAND1	ENSG00000104231.10
51800	16.0	brain	TMEM134	ENSG00000172663.8
5148	16.0	heart	AC245297.1	ENSG00000215861.5
7471	16.0	hl60_m0	PTPN7	ENSG00000143851.15
24791	16.0	heart	ACSL1	ENSG00000151726.13
40254	16.0	brain	TPD52	ENSG00000076554.15
72190	16.0	liver	HP	ENSG00000257017.8
79095	16.0	hepg2	PCYT2	ENSG00000185813.10
12297	16.0	brain	BIN1	ENSG00000136717.14
80562	16.0	h1	NARS	ENSG00000134440.11
64631	16.0	colon	MARK3	ENSG00000075413.17
35196	16.0	h9_neural_crest	FIGNL1	ENSG00000132436.11
93320	16.0	heart	PPP6R2	ENSG00000100239.15
9151	16.0	pgp1_endo	ITGB1BP1	ENSG00000119185.12
1563	16.0	gm12878	HMGN2	ENSG00000198830.10
38554	16.0	hepg2	FDFT1	ENSG00000079459.12
2007	16.0	h1	YARS	ENSG00000134684.10
64617	16.0	brain	EIF5	ENSG00000100664.10
21317	16.0	heart	CTBP1	ENSG00000159692.15
77910	16.0	brain	AMZ2	ENSG00000196704.11
18033	16.0	vessels	FOXP1	ENSG00000114861.20
27712	16.0	heart	CTNNA1	ENSG00000044115.20
91212	16.0	wtc11	HDHD5	ENSG00000069998.12
148507	16.0	brain	DMTN	ENSG00000158856.18
51290	16.0	heart	VPS51	ENSG00000149823.8
15605	16.0	gm12878	MTMR14	ENSG00000163719.19
56529	16.0	heart	PFDN5	ENSG00000123349.13
88543	16.0	gm12878	CDK5RAP1	ENSG00000101391.20
81293	16.0	heart	NDUFS7	ENSG00000115286.19
6569	16.0	adipose	UAP1	ENSG00000117143.13
1471	16.0	brain	MTFR1L	ENSG00000117640.17
44329	16.0	heart	FPGS	ENSG00000136877.14
56462	15.0	caco2	KRT18	ENSG00000111057.10
87705	15.0	h1_de	TRIM28	ENSG00000130726.11
67379	15.0	heart	IDH3A	ENSG00000166411.13
65811	15.0	brain	SERF2	ENSG00000140264.19
3693	15.0	heart	AC118549.1	ENSG00000036549.12
68808	15.0	brain	TSC2	ENSG00000103197.17
48495	15.0	lung	SIGIRR	ENSG00000185187.12
72996	15.0	lung	TCF25	ENSG00000141002.19
35007	15.0	heart	POLD2	ENSG00000106628.10
11216	15.0	lung	CAPG	ENSG00000042493.15
74483	15.0	gm12878	COPS3	ENSG00000141030.12
18553	15.0	h9_neural_crest	NEPRO	ENSG00000163608.14
83444	15.0	h9	ISYNA1	ENSG00000105655.18
72287	15.0	vessels	BCAR1	ENSG00000050820.16
49078	15.0	brain	APBB1	ENSG00000166313.18
54080	15.0	heart	ST3GAL4	ENSG00000110080.18
43915	15.0	heart	RGS3	ENSG00000138835.22
83270	15.0	brain	BABAM1	ENSG00000105393.15
1026	15.0	brain	ATP13A2	ENSG00000159363.17
14835	15.0	hepg2	NCL	ENSG00000115053.15
88538	15.0	hepg2	BPIFB2	ENSG00000078898.6
15131	15.0	heart	ILKAP	ENSG00000132323.8
71376	15.0	heart	KIFC3	ENSG00000140859.15
51911	15.0	h1	PPP6R3	ENSG00000110075.14
89887	15.0	heart	ARFRP1	ENSG00000101246.19
30231	15.0	adrenal gland	HLA-A	ENSG00000206503.12
55411	15.0	gm12878	LRMP	ENSG00000118308.15
