gid	length	biotype	biotype_category
ENSG00000171680.21	53969	protein_coding	protein_coding
ENSG00000162408.10	33188	protein_coding	protein_coding
ENSG00000253022.1	110	snRNA	other
ENSG00000229519.2	714	processed_pseudogene	pseudogene
ENSG00000173662.20	24576	protein_coding	protein_coding
ENSG00000204859.12	9279	protein_coding	protein_coding
ENSG00000162413.16	23883	protein_coding	protein_coding
ENSG00000116273.5	10348	protein_coding	protein_coding
ENSG00000041988.15	10720	protein_coding	protein_coding
ENSG00000007923.15	67756	protein_coding	protein_coding
ENSG00000228750.6	5375	lincRNA	lncRNA
ENSG00000284744.1	2084	lincRNA	lncRNA
ENSG00000237436.1	951	antisense	lncRNA
ENSG00000171735.18	984382	protein_coding	protein_coding
ENSG00000227950.1	285	processed_pseudogene	pseudogene
ENSG00000237365.1	5903	antisense	lncRNA
ENSG00000207056.1	164	snRNA	other
ENSG00000237402.1	1328	sense_intronic	lncRNA
ENSG00000237728.2	7267	antisense	lncRNA
ENSG00000225126.1	458	antisense	lncRNA
ENSG00000270171.1	1720	lincRNA	lncRNA
ENSG00000270035.1	569	lincRNA	lncRNA
ENSG00000269978.1	266	lincRNA	lncRNA
ENSG00000049245.12	10163	protein_coding	protein_coding
ENSG00000269925.1	392	sense_intronic	lncRNA
ENSG00000049246.14	60857	protein_coding	protein_coding
ENSG00000236266.1	17100	antisense	lncRNA
ENSG00000049247.13	10429	protein_coding	protein_coding
ENSG00000049249.8	27271	protein_coding	protein_coding
ENSG00000270330.1	354	processed_pseudogene	pseudogene
ENSG00000116288.12	31214	protein_coding	protein_coding
ENSG00000200344.1	102	misc_RNA	other
ENSG00000284747.1	14178	antisense	lncRNA
ENSG00000284716.1	1747	lincRNA	lncRNA
ENSG00000116285.12	21904	protein_coding	protein_coding
ENSG00000238290.1	95964	lincRNA	lncRNA
ENSG00000232848.1	1218	processed_pseudogene	pseudogene
ENSG00000229305.1	2946	processed_pseudogene	pseudogene
ENSG00000227634.2	12781	lincRNA	lncRNA
ENSG00000200975.1	163	snRNA	other
ENSG00000233645.1	2339	lincRNA	lncRNA
ENSG00000251977.1	106	snRNA	other
ENSG00000162426.14	26341	protein_coding	protein_coding
ENSG00000252254.1	112	misc_RNA	other
ENSG00000142599.17	465246	protein_coding	protein_coding
ENSG00000232912.5	10193	antisense	lncRNA
ENSG00000221083.1	124	snoRNA	other
ENSG00000270282.1	368	processed_pseudogene	pseudogene
ENSG00000234619.1	657	processed_pseudogene	pseudogene
ENSG00000224315.2	702	processed_pseudogene	pseudogene
ENSG00000222511.2	102	misc_RNA	other
ENSG00000226545.1	1031	unprocessed_pseudogene	pseudogene
ENSG00000228423.2	1191	lincRNA	lncRNA
ENSG00000229716.2	368	processed_pseudogene	pseudogene
ENSG00000074800.15	18250	protein_coding	protein_coding
ENSG00000274258.1	88	miRNA	miRNA
ENSG00000230679.1	1059	antisense	lncRNA
ENSG00000201725.1	106	snRNA	other
ENSG00000238249.2	742	processed_pseudogene	pseudogene
ENSG00000232208.2	351	processed_pseudogene	pseudogene
ENSG00000232663.2	162	processed_pseudogene	pseudogene
ENSG00000131686.14	29225	protein_coding	protein_coding
ENSG00000265141.2	298	misc_RNA	other
ENSG00000197241.3	23045	protein_coding	protein_coding
ENSG00000142583.17	53371	protein_coding	protein_coding
ENSG00000252404.1	183	scaRNA	other
ENSG00000180758.11	28865	protein_coding	protein_coding
ENSG00000228526.7	50895	lincRNA	lncRNA
ENSG00000284357.1	109	miRNA	miRNA
ENSG00000234546.3	14280	lincRNA	lncRNA
ENSG00000049239.12	36562	protein_coding	protein_coding
ENSG00000171621.13	76652	protein_coding	protein_coding
ENSG00000284652.1	1764	lincRNA	lncRNA
ENSG00000284693.1	15470	lincRNA	lncRNA
ENSG00000252956.1	109	rRNA_pseudogene	other
ENSG00000235263.1	2379	lincRNA	lncRNA
ENSG00000171612.6	45697	protein_coding	protein_coding
ENSG00000231181.1	558	processed_pseudogene	pseudogene
ENSG00000188807.12	25951	protein_coding	protein_coding
ENSG00000171608.15	77382	protein_coding	protein_coding
ENSG00000179840.5	1976	antisense	lncRNA
ENSG00000233268.3	1798	processed_pseudogene	pseudogene
ENSG00000231789.2	15129	antisense	lncRNA
ENSG00000171603.17	95500	protein_coding	protein_coding
ENSG00000271264.1	418	processed_pseudogene	pseudogene
ENSG00000280113.2	1982	TEC	other
ENSG00000178585.14	62060	protein_coding	protein_coding
ENSG00000223989.1	1836	antisense	lncRNA
ENSG00000285701.1	7420	antisense	lncRNA
ENSG00000162441.11	21294	protein_coding	protein_coding
ENSG00000228150.1	7051	sense_intronic	lncRNA
ENSG00000173614.13	42073	protein_coding	protein_coding
ENSG00000202415.1	318	misc_RNA	other
ENSG00000283611.2	10215	unitary_pseudogene	pseudogene
ENSG00000265521.1	77	miRNA	miRNA
ENSG00000241326.1	1427	sense_intronic	lncRNA
ENSG00000162444.11	18814	protein_coding	protein_coding
ENSG00000130939.18	148407	protein_coding	protein_coding
ENSG00000224340.1	336	processed_pseudogene	pseudogene
ENSG00000233623.2	977	processed_pseudogene	pseudogene
ENSG00000201746.1	106	snRNA	other
ENSG00000054523.17	170798	protein_coding	protein_coding
ENSG00000264881.1	85	miRNA	miRNA
ENSG00000199562.1	106	snRNA	other
ENSG00000264501.2	292	misc_RNA	other
ENSG00000284735.1	5244	lincRNA	lncRNA
ENSG00000284642.1	2016	lincRNA	lncRNA
ENSG00000142657.20	21552	protein_coding	protein_coding
ENSG00000271989.1	796	antisense	lncRNA
ENSG00000251503.8	22051	protein_coding	protein_coding
ENSG00000175279.21	12366	protein_coding	protein_coding
ENSG00000241563.3	2183	protein_coding	protein_coding
ENSG00000160049.11	16004	protein_coding	protein_coding
ENSG00000203469.2	783	antisense	lncRNA
ENSG00000142655.12	158470	protein_coding	protein_coding
ENSG00000243267.3	279	misc_RNA	other
ENSG00000130940.14	160046	protein_coding	protein_coding
ENSG00000272078.1	15092	antisense	lncRNA
ENSG00000225158.2	237	processed_pseudogene	pseudogene
ENSG00000175262.14	35566	protein_coding	protein_coding
ENSG00000215785.2	819	processed_pseudogene	pseudogene
ENSG00000120948.17	14076	protein_coding	protein_coding
ENSG00000277726.4	17866	protein_coding	protein_coding
ENSG00000009724.16	20710	protein_coding	protein_coding
ENSG00000271895.2	869	antisense	lncRNA
ENSG00000116649.9	5440	protein_coding	protein_coding
ENSG00000171824.13	33263	protein_coding	protein_coding
ENSG00000226849.1	4626	antisense	lncRNA
ENSG00000230337.1	2425	antisense	lncRNA
ENSG00000198793.12	155972	protein_coding	protein_coding
ENSG00000225602.5	5639	antisense	lncRNA
ENSG00000253086.1	102	snRNA	other
ENSG00000171819.4	6640	protein_coding	protein_coding
ENSG00000207451.1	106	snRNA	other
ENSG00000238173.1	149	processed_pseudogene	pseudogene
ENSG00000120942.13	22843	protein_coding	protein_coding
ENSG00000238199.1	735	processed_pseudogene	pseudogene
ENSG00000284646.1	7359	lincRNA	lncRNA
ENSG00000224338.2	564	processed_pseudogene	pseudogene
ENSG00000204624.7	58418	protein_coding	protein_coding
ENSG00000285833.1	1213	antisense	lncRNA
ENSG00000235643.1	3824	lincRNA	lncRNA
ENSG00000284708.1	19858	antisense	lncRNA
ENSG00000116661.10	18767	protein_coding	protein_coding
ENSG00000132879.13	8952	protein_coding	protein_coding
ENSG00000116663.10	10230	protein_coding	protein_coding
ENSG00000116670.14	17170	protein_coding	protein_coding
ENSG00000162490.6	34128	protein_coding	protein_coding
ENSG00000177674.15	18718	protein_coding	protein_coding
ENSG00000215910.7	27798	protein_coding	protein_coding
ENSG00000177553.6	2542	antisense	lncRNA
ENSG00000177000.12	21197	protein_coding	protein_coding
ENSG00000011021.22	41983	protein_coding	protein_coding
ENSG00000276470.1	172	misc_RNA	other
ENSG00000278852.1	148	misc_RNA	other
ENSG00000175206.10	2636	protein_coding	protein_coding
ENSG00000275915.1	107	misc_RNA	other
ENSG00000120937.8	1467	protein_coding	protein_coding
ENSG00000224904.1	2636	processed_pseudogene	pseudogene
ENSG00000285646.1	5085	lincRNA	lncRNA
ENSG00000199347.1	119	snRNA	other
ENSG00000201801.1	119	snRNA	other
ENSG00000116685.15	6837	protein_coding	protein_coding
ENSG00000083444.16	41333	protein_coding	protein_coding
ENSG00000116688.16	33333	protein_coding	protein_coding
ENSG00000270914.1	92	processed_pseudogene	pseudogene
ENSG00000116691.10	12579	protein_coding	protein_coding
ENSG00000202461.1	112	misc_RNA	other
ENSG00000276869.1	64	miRNA	miRNA
ENSG00000243539.3	274	misc_RNA	other
ENSG00000120949.14	80830	protein_coding	protein_coding
ENSG00000201135.1	103	snRNA	other
ENSG00000227875.2	254	processed_pseudogene	pseudogene
ENSG00000285604.1	3823	antisense	lncRNA
ENSG00000283789.1	95	miRNA	miRNA
ENSG00000028137.18	42225	protein_coding	protein_coding
ENSG00000263676.1	60	miRNA	miRNA
ENSG00000225196.2	315	processed_pseudogene	pseudogene
ENSG00000252969.1	123	snoRNA	other
ENSG00000048707.15	282017	protein_coding	protein_coding
ENSG00000239149.1	151	snoRNA	other
ENSG00000229484.1	696	lincRNA	lncRNA
ENSG00000162496.8	49821	protein_coding	protein_coding
ENSG00000221340.1	100	snRNA	other
ENSG00000276830.1	66	miRNA	miRNA
ENSG00000272482.1	344	lincRNA	lncRNA
ENSG00000204518.2	22539	protein_coding	protein_coding
ENSG00000226166.2	111	processed_pseudogene	pseudogene
ENSG00000188984.11	12644	protein_coding	protein_coding
ENSG00000157330.9	17484	protein_coding	protein_coding
ENSG00000116726.4	3065	protein_coding	protein_coding
ENSG00000116721.9	5231	protein_coding	protein_coding
ENSG00000228338.1	473	lincRNA	lncRNA
ENSG00000239810.3	6805	protein_coding	protein_coding
ENSG00000231103.2	3232	unprocessed_pseudogene	pseudogene
ENSG00000179172.9	1317	protein_coding	protein_coding
ENSG00000120952.4	4823	protein_coding	protein_coding
ENSG00000243073.3	6977	protein_coding	protein_coding
ENSG00000187545.5	5374	protein_coding	protein_coding
ENSG00000204510.5	3872	protein_coding	protein_coding
ENSG00000207434.1	106	snRNA	other
ENSG00000234064.1	2091	unprocessed_pseudogene	pseudogene
ENSG00000232423.6	9108	protein_coding	protein_coding
ENSG00000274178.2	2791	unprocessed_pseudogene	pseudogene
ENSG00000274764.5	7015	protein_coding	protein_coding
ENSG00000277058.2	1360	protein_coding	protein_coding
ENSG00000229571.7	9207	protein_coding	protein_coding
ENSG00000277862.1	2792	unprocessed_pseudogene	pseudogene
ENSG00000236179.1	1286	unprocessed_pseudogene	pseudogene
ENSG00000275774.2	1358	protein_coding	protein_coding
ENSG00000229978.1	2797	transcribed_unprocessed_pseudogene	pseudogene
ENSG00000233336.1	479	lincRNA	lncRNA
ENSG00000280267.4	7056	protein_coding	protein_coding
ENSG00000179412.10	881	protein_coding	protein_coding
ENSG00000204505.4	7009	protein_coding	protein_coding
ENSG00000279169.2	5079	protein_coding	protein_coding
ENSG00000279804.2	3401	protein_coding	protein_coding
ENSG00000250894.1	2789	unprocessed_pseudogene	pseudogene
ENSG00000270601.4	9102	protein_coding	protein_coding
ENSG00000231219.1	2088	unprocessed_pseudogene	pseudogene
ENSG00000207511.1	106	snRNA	other
ENSG00000182330.10	4139	protein_coding	protein_coding
ENSG00000237700.2	5368	protein_coding	protein_coding
ENSG00000204501.7	7017	protein_coding	protein_coding
ENSG00000228229.2	479	lincRNA	lncRNA
ENSG00000204481.7	5100	protein_coding	protein_coding
ENSG00000204480.8	2833	protein_coding	protein_coding
ENSG00000204479.4	2997	protein_coding	protein_coding
ENSG00000204478.9	10878	protein_coding	protein_coding
ENSG00000162494.5	39071	protein_coding	protein_coding
ENSG00000259961.1	3050	antisense	lncRNA
ENSG00000215909.3	693	processed_pseudogene	pseudogene
ENSG00000162493.16	34492	protein_coding	protein_coding
ENSG00000222952.1	100	rRNA_pseudogene	other
ENSG00000237445.2	2599	lincRNA	lncRNA
ENSG00000253085.1	129	scaRNA	other
ENSG00000116731.22	124881	protein_coding	protein_coding
ENSG00000189337.16	1225251	protein_coding	protein_coding
ENSG00000252151.1	102	snRNA	other
ENSG00000231606.1	1227	lincRNA	lncRNA
ENSG00000234593.2	42620	lincRNA	lncRNA
ENSG00000235829.1	484	processed_pseudogene	pseudogene
ENSG00000175147.12	41422	antisense	lncRNA
ENSG00000171729.13	67948	protein_coding	protein_coding
ENSG00000204464.7	6973	lincRNA	lncRNA
ENSG00000215720.4	1017	processed_pseudogene	pseudogene
ENSG00000278480.1	1176	processed_pseudogene	pseudogene
ENSG00000142621.19	153011	protein_coding	protein_coding
ENSG00000233485.1	17196	antisense	lncRNA
ENSG00000236045.1	1298	antisense	lncRNA
ENSG00000228140.1	6454	lincRNA	lncRNA
ENSG00000142634.12	20448	protein_coding	protein_coding
ENSG00000162438.11	10803	protein_coding	protein_coding
ENSG00000142615.7	15363	protein_coding	protein_coding
ENSG00000215704.9	25491	protein_coding	protein_coding
ENSG00000132906.17	35702	protein_coding	protein_coding
ENSG00000116138.12	65566	protein_coding	protein_coding
ENSG00000251866.1	139	scaRNA	other
ENSG00000272510.1	345	antisense	lncRNA
ENSG00000116771.5	12757	protein_coding	protein_coding
ENSG00000237301.1	17490	antisense	lncRNA
ENSG00000235084.3	446	processed_pseudogene	pseudogene
ENSG00000252417.1	67	snRNA	other
ENSG00000236500.1	224	processed_pseudogene	pseudogene
ENSG00000197312.11	51544	protein_coding	protein_coding
ENSG00000215695.1	1853	protein_coding	protein_coding
ENSG00000271742.1	255	lincRNA	lncRNA
ENSG00000116786.12	50437	protein_coding	protein_coding
ENSG00000237938.5	16584	antisense	lncRNA
ENSG00000162461.7	4991	protein_coding	protein_coding
ENSG00000224459.1	9845	antisense	lncRNA
ENSG00000162460.6	5560	protein_coding	protein_coding
ENSG00000162458.12	29987	protein_coding	protein_coding
ENSG00000224321.1	489	processed_pseudogene	pseudogene
ENSG00000233954.6	2179	protein_coding	protein_coding
ENSG00000178715.8	437	processed_pseudogene	pseudogene
ENSG00000179743.4	13673	antisense	lncRNA
ENSG00000065526.10	92596	protein_coding	protein_coding
ENSG00000270620.1	210	unprocessed_pseudogene	pseudogene
ENSG00000116809.11	34263	protein_coding	protein_coding
ENSG00000234607.2	562	processed_pseudogene	pseudogene
ENSG00000231353.1	259	unprocessed_pseudogene	pseudogene
ENSG00000275503.1	235	processed_pseudogene	pseudogene
ENSG00000224966.4	4880	unprocessed_pseudogene	pseudogene
ENSG00000183888.4	4571	protein_coding	protein_coding
ENSG00000233078.1	511	antisense	lncRNA
ENSG00000173641.17	5566	protein_coding	protein_coding
ENSG00000186510.11	15175	protein_coding	protein_coding
ENSG00000232456.1	4851	unprocessed_pseudogene	pseudogene
ENSG00000184908.17	13572	protein_coding	protein_coding
ENSG00000185519.8	15863	protein_coding	protein_coding
ENSG00000142627.12	31750	protein_coding	protein_coding
ENSG00000227959.1	2118	antisense	lncRNA
ENSG00000224621.1	2617	antisense	lncRNA
ENSG00000234166.1	503	antisense	lncRNA
ENSG00000142632.16	14755	protein_coding	protein_coding
